SAMEA114439564	ERR12078769
SAMEA114439565	ERR12078768
SAMEA114439566	ERR12078767
SAMEA114439567	ERR12078766
SAMEA114439568	ERR12078765
SAMEA114439569	ERR12078764
SAMEA114439570	ERR12078763
SAMEA114439571	ERR12078762
SAMEA114439572	ERR12078761
SAMEA114439573	ERR12078760
SAMEA115401561	ERR12742679
SAMEA115401562	ERR12742683
SAMEA115401563	ERR12742682
SAMEA115401564	ERR12742695
SAMEA115401565	ERR12742680
SAMEA115401566	ERR12742684
SAMEA115401567	ERR12742685
SAMEA115401568	ERR12742686
SAMEA115401569	ERR12742694
SAMEA115401570	ERR12742681
SAMEA115401571	ERR12742691
SAMEA115401572	ERR12742693
SAMEA115401573	ERR12742692
SAMEA115401574	ERR12742687
SAMEA115401575	ERR12742690
SAMEA115401576	ERR12742688
SAMEA115401577	ERR12742689
SAMEA13188674	ERR9030335
SAMEA13188682	ERR9030316
SAMEA13188685	ERR9030381
SAMEA13188688	ERR9030505
SAMEA13188689	ERR9030503
SAMEA13188715	ERR9030375
SAMEA13188731	ERR9030409
SAMN08143491	SRR17231461
SAMN08636982	SRR17231410
SAMN08636983	SRR17231411
SAMN08636996	SRR17231413
SAMN08637007	SRR17231412
SAMN08637037	SRR17231415
SAMN08637048	SRR17231409
SAMN08637053	SRR17231414
SAMN08815977	SRR17231462
SAMN09651666	SRR17231610
SAMN09651680	SRR17231613
SAMN09651713	SRR17231609
SAMN09651722	SRR17231612
SAMN09651729	SRR17231608
SAMN09651748	SRR17231611
SAMN13051719	SRR26283454
SAMN13169468	SRR26282617
SAMN13169484	SRR26282624
SAMN13169488	SRR26282616
SAMN13169498	SRR26282633
SAMN13169502	SRR26282625
SAMN13169515	SRR26282615
SAMN13169544	SRR26282618
SAMN13169545	SRR26282629
SAMN13169547	SRR26282628
SAMN13169557	SRR26282634
SAMN13169560	SRR26282627
SAMN13169563	SRR26282630
SAMN13169569	SRR26282622
SAMN13169581	SRR26282626
SAMN13169638	SRR26282614
SAMN13169657	SRR26282613
SAMN13169688	SRR26282623
SAMN13169710	SRR26282612
SAMN13169727	SRR26282621
SAMN13169735	SRR26282611
SAMN13169744	SRR26282620
SAMN13169748	SRR26282619
SAMN13169757	SRR26282632
SAMN13169796	SRR26282631
SAMN13207936	SRR26283524
SAMN13207943	SRR26283527
SAMN13207954	SRR26283525
SAMN13208015	SRR26283526
SAMN13208027	SRR26283528
SAMN16252929	SRR14584899
SAMN16564840	SRR12916665
SAMN18614372	SRR17234886
SAMN24038646	SRR17234887
SAMN24039411	SRR17234888
SAMN24039456	SRR17234889
SAMN24039564	SRR17234890
SAMN24039598	SRR17234891
SAMN24039640	SRR17234893
SAMN24040382	SRR17234894
SAMN24040385	SRR17234895
SAMN24040410	SRR17234903
SAMN24040618	SRR17234900
SAMN24042982	SRR17234896
SAMN24042990	SRR17234897
SAMN26514124	SRR30641007
SAMN28021336	SRR28788881
SAMN37501196	SRR26139274
SAMN37501197	SRR26139273
SAMN37501198	SRR26139262
SAMN37501199	SRR26139253
SAMN37501200	SRR26139252
SAMN37501201	SRR26139251
SAMN37501202	SRR26139250
SAMN37501203	SRR26139249
SAMN37501204	SRR26139248
SAMN37501205	SRR26139247
SAMN37501206	SRR26139272
SAMN37501207	SRR26139271
SAMN37501208	SRR26139270
SAMN37501209	SRR26139269
SAMN37563197	SRR26193447
SAMN37563198	SRR26193462
SAMN37563199	SRR26193461
SAMN37563200	SRR26193460
SAMN37563201	SRR26193459
SAMN37563202	SRR26193458
SAMN37563203	SRR26193457
SAMN37563204	SRR26193456
SAMN37563205	SRR26193455
SAMN37642158	SRR26252774
SAMN37642159	SRR26252773
SAMN37642160	SRR26252772
SAMN37642161	SRR26252771
SAMN37642162	SRR26252770
SAMN37642163	SRR26252769
SAMN37642164	SRR26252768
SAMN37642165	SRR26252767
SAMN37642166	SRR26252766
SAMN38195838	SRR26783284
